Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
36	0.005,	0.6,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
26	0.0,	0.9999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
272	0.035,	0.8999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
200	0.025,	0.8999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
8	0.0,	0.7,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
85	0.01,	0.7999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
227	0.03,	0.7,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
128	0.015,	0.8999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
41	0.005,	0.6,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
304	0.04,	0.7999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
161	0.02,	0.7999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
218	0.03,	0.6,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
207	0.025,	0.9999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
279	0.035,	0.9999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
204	0.025,	0.9999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
154	0.02,	0.7,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
264	0.035,	0.7999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
317	0.04,	0.9999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
50	0.005,	0.7999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
267	0.035,	0.7999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
245	0.03,	0.9999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
131	0.015,	0.8999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
10	0.0,	0.7,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
64	0.005,	0.9999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
219	0.03,	0.6,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
222	0.03,	0.7,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
244	0.03,	0.9999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
243	0.03,	0.9999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
4	0.0,	0.6,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
188	0.025,	0.7,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
226	0.03,	0.7,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
295	0.04,	0.7,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
172	0.02,	0.9999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
160	0.02,	0.7999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
196	0.025,	0.7999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
170	0.02,	0.9999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
125	0.015,	0.7999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
259	0.035,	0.7,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
115	0.015,	0.7,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
84	0.01,	0.7999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
299	0.04,	0.7,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
151	0.02,	0.7,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
312	0.04,	0.9999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
89	0.01,	0.7999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
309	0.04,	0.8999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
171	0.02,	0.9999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
273	0.035,	0.8999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
263	0.035,	0.7,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
157	0.02,	0.7999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
130	0.015,	0.8999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
112	0.015,	0.6,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
45	0.005,	0.7,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
268	0.035,	0.7999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
280	0.035,	0.9999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
241	0.03,	0.9999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
225	0.03,	0.7,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
186	0.025,	0.7,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
122	0.015,	0.7999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
185	0.025,	0.6,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
315	0.04,	0.9999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
63	0.005,	0.9999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
292	0.04,	0.6,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
302	0.04,	0.7999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
229	0.03,	0.7999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
5	0.0,	0.6,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
297	0.04,	0.7,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
53	0.005,	0.7999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
19	0.0,	0.8999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
202	0.025,	0.8999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
87	0.01,	0.7999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
305	0.04,	0.7999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
236	0.03,	0.8999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
