Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
200	0.025,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
8	0.0,	0.1,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
149	0.02,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
195	0.025,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
246	0.03,	0.5,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
227	0.03,	0.1,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
128	0.015,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
189	0.025,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
41	0.005,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
323	0.04,	0.5,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
100	0.01,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
304	0.04,	0.2,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
111	0.015,	0.0,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
161	0.02,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
218	0.03,	0.0,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
207	0.025,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
279	0.035,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
204	0.025,	0.4,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
7	0.0,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
30	0.0,	0.5,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
165	0.02,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
287	0.035,	0.5,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
264	0.035,	0.2,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
317	0.04,	0.4,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
267	0.035,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
137	0.015,	0.4,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
245	0.03,	0.4,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
35	0.0,	0.5,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
64	0.005,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
219	0.03,	0.0,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
222	0.03,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
244	0.03,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
318	0.04,	0.5,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
140	0.015,	0.5,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
4	0.0,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
180	0.025,	0.0,	0.0,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
226	0.03,	0.1,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
295	0.04,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
172	0.02,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
196	0.025,	0.2,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
139	0.015,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
125	0.015,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
259	0.035,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
164	0.02,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
176	0.02,	0.5,	0.2,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
115	0.015,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
299	0.04,	0.1,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
151	0.02,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
89	0.01,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
171	0.02,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
273	0.035,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
130	0.015,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
112	0.015,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
45	0.005,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
268	0.035,	0.2,	0.4,	NVIDIA GeForce RTX 2080 Ti	62,	0.886
