Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
222	0.03,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
244	0.03,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
140	0.015,	0.5,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
243	0.03,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
178	0.02,	0.5,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
4	0.0,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
180	0.025,	0.0,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
188	0.025,	0.1,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
226	0.03,	0.1,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
295	0.04,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
172	0.02,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
160	0.02,	0.2,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
196	0.025,	0.2,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
170	0.02,	0.4,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
139	0.015,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
125	0.015,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
177	0.02,	0.5,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
259	0.035,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
176	0.02,	0.5,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
25	0.0,	0.4,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
84	0.01,	0.2,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
151	0.02,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
312	0.04,	0.4,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
